"New_Folder_Path"	"Original_Name"	"ImmPort_Name"	"Original_FIL_Keyword"	"flowJo_xml_sampleID"
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_AViD AmCyan_232.fcs"	"Compensation_AViD AmCyan_232.721929.fcs"	"5650.fcs"	1
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_CD107a PE Cy7_242.fcs"	"Compensation_CD107a PE Cy7_242.721930.fcs"	"5670.fcs"	6
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_CD154 PE Cy5_241.fcs"	"Compensation_CD154 PE Cy5_241.721931.fcs"	"5668.fcs"	7
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_CD3 ECD_233.fcs"	"Compensation_CD3 ECD_233.721932.fcs"	"5652.fcs"	2
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_CD4 APC Cy7_234.fcs"	"Compensation_CD4 APC Cy7_234.721933.fcs"	"5654.fcs"	3
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_CD8 PE (IL2)_236.fcs"	"Compensation_CD8 PE (IL2)_236.721934.fcs"	"5658.fcs"	4
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_CD8 PerCP Cy5-5_235.fcs"	"Compensation_CD8 PerCP Cy5-5_235.721935.fcs"	"5656.fcs"	5
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_GranzymeB Ax700 (IL17a)_240.fcs"	"Compensation_GranzymeB Ax700 (IL17a)_240.721936.fcs"	"5666.fcs"	8
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_HLA-DR APC (IL4)_237.fcs"	"Compensation_HLA-DR APC (IL4)_237.721937.fcs"	"5660.fcs"	9
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_IFNg V450_238.fcs"	"Compensation_IFNg V450_238.721938.fcs"	"5662.fcs"	10
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_TNF FITC_239.fcs"	"Compensation_TNF FITC_239.721939.fcs"	"5664.fcs"	11
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Compensation_Unstained_231.fcs"	"Compensation_Unstained_231.721940.fcs"	"5648.fcs"	12
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_A10_A10_010.fcs"	"Specimen_001_A10_A10_010.722002.fcs"	"5686.fcs"	49
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_A10_A10_050.fcs"	"Specimen_001_A10_A10_050.722037.fcs"	"5767.fcs"	50
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_A2_A02_002.fcs"	"Specimen_001_A2_A02_002.721998.fcs"	"5678.fcs"	17
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_A2_A02_042.fcs"	"Specimen_001_A2_A02_042.722033.fcs"	"5759.fcs"	18
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_A4_A04_004.fcs"	"Specimen_001_A4_A04_004.721999.fcs"	"5680.fcs"	25
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_A4_A04_044.fcs"	"Specimen_001_A4_A04_044.722034.fcs"	"5761.fcs"	26
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_A6_A06_006.fcs"	"Specimen_001_A6_A06_006.722000.fcs"	"5682.fcs"	33
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_A6_A06_046.fcs"	"Specimen_001_A6_A06_046.722035.fcs"	"5763.fcs"	34
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_A8_A08_008.fcs"	"Specimen_001_A8_A08_008.722001.fcs"	"5684.fcs"	41
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_A8_A08_048.fcs"	"Specimen_001_A8_A08_048.722036.fcs"	"5765.fcs"	42
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B10_B10_020.fcs"	"Specimen_001_B10_B10_060.722007.fcs"	"5696.fcs"	89
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B10_B10_130.fcs"	"Specimen_001_B10_B10_130.722012.fcs"	"5932.fcs"	91
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B10_B10_210.fcs"	"Specimen_001_B10_B10_210.721977.fcs"	"6093.fcs"	92
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B2_B02_012.fcs"	"Specimen_001_B2_B02_052.722003.fcs"	"5688.fcs"	57
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B2_B02_122.fcs"	"Specimen_001_B2_B02_122.722008.fcs"	"5924.fcs"	59
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B2_B02_202.fcs"	"Specimen_001_B2_B02_202.721973.fcs"	"6085.fcs"	60
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B4_B04_014.fcs"	"Specimen_001_B4_B04_054.722004.fcs"	"5690.fcs"	65
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B4_B04_124.fcs"	"Specimen_001_B4_B04_124.722009.fcs"	"5926.fcs"	67
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B4_B04_204.fcs"	"Specimen_001_B4_B04_204.721974.fcs"	"6087.fcs"	68
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B6_B06_016.fcs"	"Specimen_001_B6_B06_056.722005.fcs"	"5692.fcs"	73
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B6_B06_126.fcs"	"Specimen_001_B6_B06_126.722010.fcs"	"5928.fcs"	75
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B6_B06_206.fcs"	"Specimen_001_B6_B06_206.721975.fcs"	"6089.fcs"	76
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B8_B08_018.fcs"	"Specimen_001_B8_B08_058.722006.fcs"	"5694.fcs"	81
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B8_B08_128.fcs"	"Specimen_001_B8_B08_128.722011.fcs"	"5930.fcs"	83
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_B8_B08_208.fcs"	"Specimen_001_B8_B08_208.721976.fcs"	"6091.fcs"	84
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C10_C10_030.fcs"	"Specimen_001_C10_C10_030.721957.fcs"	"5706.fcs"	129
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C10_C10_070.fcs"	"Specimen_001_C10_C10_070.721942.fcs"	"5789.fcs"	130
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C10_C10_140.fcs"	"Specimen_001_C10_C10_140.722027.fcs"	"5942.fcs"	131
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C10_C10_220.fcs"	"Specimen_001_C10_C10_220.722017.fcs"	"6103.fcs"	132
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C2_C02_022.fcs"	"Specimen_001_C2_C02_022.721953.fcs"	"5698.fcs"	97
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C2_C02_062.fcs"	"Specimen_001_C2_C02_062.721928.fcs"	"5781.fcs"	98
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C2_C02_132.fcs"	"Specimen_001_C2_C02_132.722023.fcs"	"5934.fcs"	99
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C2_C02_212.fcs"	"Specimen_001_C2_C02_212.722013.fcs"	"6095.fcs"	100
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C4_C04_024.fcs"	"Specimen_001_C4_C04_024.721954.fcs"	"5700.fcs"	105
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C4_C04_064.fcs"	"Specimen_001_C4_C04_064.721941.fcs"	"5783.fcs"	106
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C4_C04_134.fcs"	"Specimen_001_C4_C04_134.722024.fcs"	"5936.fcs"	107
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C4_C04_214.fcs"	"Specimen_001_C4_C04_214.722014.fcs"	"6097.fcs"	108
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C6_C06_026.fcs"	"Specimen_001_C6_C06_026.721955.fcs"	"5702.fcs"	113
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C6_C06_066.fcs"	"Specimen_001_C6_C06_136.722025.fcs"	"5785.fcs"	114
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C6_C06_216.fcs"	"Specimen_001_C6_C06_216.722015.fcs"	"6099.fcs"	116
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C8_C08_028.fcs"	"Specimen_001_C8_C08_028.721956.fcs"	"5704.fcs"	121
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C8_C08_068.fcs"	"Specimen_001_C8_C08_138.722026.fcs"	"5787.fcs"	122
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_C8_C08_218.fcs"	"Specimen_001_C8_C08_218.722016.fcs"	"6101.fcs"	124
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D10_D10_040.fcs"	"Specimen_001_D10_D10_040.721952.fcs"	"5716.fcs"	169
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D10_D10_080.fcs"	"Specimen_001_D10_D10_080.722032.fcs"	"5800.fcs"	170
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D10_D10_150.fcs"	"Specimen_001_D10_D10_150.721947.fcs"	"5952.fcs"	171
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D10_D10_230.fcs"	"Specimen_001_D10_D10_230.721997.fcs"	"6113.fcs"	172
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D2_D02_032.fcs"	"Specimen_001_D2_D02_032.721948.fcs"	"5708.fcs"	137
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D2_D02_072.fcs"	"Specimen_001_D2_D02_072.722028.fcs"	"5792.fcs"	138
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D2_D02_142.fcs"	"Specimen_001_D2_D02_142.721943.fcs"	"5944.fcs"	139
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D2_D02_222.fcs"	"Specimen_001_D2_D02_222.721993.fcs"	"6105.fcs"	140
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D4_D04_034.fcs"	"Specimen_001_D4_D04_034.721949.fcs"	"5710.fcs"	145
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D4_D04_074.fcs"	"Specimen_001_D4_D04_074.722029.fcs"	"5794.fcs"	146
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D4_D04_144.fcs"	"Specimen_001_D4_D04_144.721944.fcs"	"5946.fcs"	147
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D4_D04_224.fcs"	"Specimen_001_D4_D04_224.721994.fcs"	"6107.fcs"	148
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D6_D06_036.fcs"	"Specimen_001_D6_D06_036.721950.fcs"	"5712.fcs"	153
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D6_D06_076.fcs"	"Specimen_001_D6_D06_076.722030.fcs"	"5796.fcs"	154
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D6_D06_146.fcs"	"Specimen_001_D6_D06_146.721945.fcs"	"5948.fcs"	155
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D6_D06_226.fcs"	"Specimen_001_D6_D06_226.721995.fcs"	"6109.fcs"	156
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D8_D08_038.fcs"	"Specimen_001_D8_D08_038.721951.fcs"	"5714.fcs"	161
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D8_D08_078.fcs"	"Specimen_001_D8_D08_078.722031.fcs"	"5798.fcs"	162
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D8_D08_148.fcs"	"Specimen_001_D8_D08_148.721946.fcs"	"5950.fcs"	163
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_D8_D08_228.fcs"	"Specimen_001_D8_D08_228.721996.fcs"	"6111.fcs"	164
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_E10_E10_090.fcs"	"Specimen_001_E10_E10_090.721967.fcs"	"5811.fcs"	191
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_E10_E10_160.fcs"	"Specimen_001_E10_E10_160.721982.fcs"	"5962.fcs"	192
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_E2_E02_082.fcs"	"Specimen_001_E2_E02_082.721963.fcs"	"5803.fcs"	175
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_E2_E02_152.fcs"	"Specimen_001_E2_E02_152.721978.fcs"	"5954.fcs"	176
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_E4_E04_084.fcs"	"Specimen_001_E4_E04_084.721964.fcs"	"5805.fcs"	179
"TBAgs/20170605_RSTR_OMIP14_ICS_Batch1/20170607_RSTR_OMIP14_ICS"	"Specimen_001_E4_E04_154.fcs"	"Specimen_001_E4_E04_154.721979.fcs"	"5956.fcs"	180
