"Experiment"	"sampleID"	"file"
"TBAgs_B1"	17	"Specimen_001_A2_A02_002.fcs"
"TBAgs_B1"	25	"Specimen_001_A4_A04_004.fcs"
"TBAgs_B1"	33	"Specimen_001_A6_A06_006.fcs"
"TBAgs_B1"	41	"Specimen_001_A8_A08_008.fcs"
"TBAgs_B1"	49	"Specimen_001_A10_A10_010.fcs"
"TBAgs_B1"	57	"Specimen_001_B2_B02_012.fcs"
"TBAgs_B1"	65	"Specimen_001_B4_B04_014.fcs"
"TBAgs_B1"	73	"Specimen_001_B6_B06_016.fcs"
"TBAgs_B1"	81	"Specimen_001_B8_B08_018.fcs"
"TBAgs_B1"	89	"Specimen_001_B10_B10_020.fcs"
"TBAgs_B1"	97	"Specimen_001_C2_C02_022.fcs"
"TBAgs_B1"	105	"Specimen_001_C4_C04_024.fcs"
"TBAgs_B1"	113	"Specimen_001_C6_C06_026.fcs"
"TBAgs_B1"	121	"Specimen_001_C8_C08_028.fcs"
"TBAgs_B1"	129	"Specimen_001_C10_C10_030.fcs"
"TBAgs_B1"	137	"Specimen_001_D2_D02_032.fcs"
"TBAgs_B1"	145	"Specimen_001_D4_D04_034.fcs"
"TBAgs_B1"	153	"Specimen_001_D6_D06_036.fcs"
"TBAgs_B1"	161	"Specimen_001_D8_D08_038.fcs"
"TBAgs_B1"	169	"Specimen_001_D10_D10_040.fcs"
"TBAgs_B1"	18	"Specimen_001_A2_A02_042.fcs"
"TBAgs_B1"	26	"Specimen_001_A4_A04_044.fcs"
"TBAgs_B1"	34	"Specimen_001_A6_A06_046.fcs"
"TBAgs_B1"	42	"Specimen_001_A8_A08_048.fcs"
"TBAgs_B1"	50	"Specimen_001_A10_A10_050.fcs"
"TBAgs_B1"	58	"Specimen_001_B2_B02_052.fcs"
"TBAgs_B1"	66	"Specimen_001_B4_B04_054.fcs"
"TBAgs_B1"	74	"Specimen_001_B6_B06_056.fcs"
"TBAgs_B1"	82	"Specimen_001_B8_B08_058.fcs"
"TBAgs_B1"	90	"Specimen_001_B10_B10_060.fcs"
"TBAgs_B1"	98	"Specimen_001_C2_C02_062.fcs"
